2026-03-23 18:22:17 | INFO     | solar_generation | Encontrados 2 arquivos em /tmp/pytest-of-kershugo/pytest-0/test_load_returns_list0/full
2026-03-23 18:22:17 | INFO     | solar_generation | Total carregado: 2 datasets
2026-03-23 18:22:17 | INFO     | solar_generation | Encontrados 2 arquivos em /tmp/pytest-of-kershugo/pytest-0/test_load_returns_correct_coun0/full
2026-03-23 18:22:17 | INFO     | solar_generation | Total carregado: 2 datasets
2026-03-23 18:22:17 | INFO     | solar_generation | Encontrados 2 arquivos em /tmp/pytest-of-kershugo/pytest-0/test_load_returns_tuples_of_na0/full
2026-03-23 18:22:17 | INFO     | solar_generation | Total carregado: 2 datasets
2026-03-23 18:22:17 | INFO     | solar_generation | Encontrados 2 arquivos em /tmp/pytest-of-kershugo/pytest-0/test_load_strips_full_suffix_f0/full
2026-03-23 18:22:17 | INFO     | solar_generation | Total carregado: 2 datasets
2026-03-23 18:22:17 | INFO     | solar_generation | Encontrados 2 arquivos em /tmp/pytest-of-kershugo/pytest-0/test_load_results_are_sorted_b0/full
2026-03-23 18:22:17 | INFO     | solar_generation | Total carregado: 2 datasets
2026-03-23 18:22:17 | INFO     | solar_generation | Encontrados 3 arquivos em /tmp/pytest-of-kershugo/pytest-0/test_load_ignores_corrupt_csv_0/full
2026-03-23 18:22:17 | INFO     | solar_generation | Total carregado: 3 datasets
2026-03-23 18:22:17 | INFO     | solar_generation | Encontrados 0 arquivos em /tmp/pytest-of-kershugo/pytest-0/test_load_empty_directory_retu0/full
2026-03-23 18:22:17 | INFO     | solar_generation | Total carregado: 0 datasets
